Değişken,F-İstatistik,p-değeri,Anlamlı?
cbo,22.4663,2.1389940583701403e-06,Evet
cboModified,24.35,8.034443349611594e-07,Evet
fanin,5.6694,0.017263438888151062,Evet
fanout,22.3179,2.310901399058639e-06,Evet
wmc,14.4756,0.00014199881049386124,Evet
dit,4.5803,0.032342040106928635,Evet
noc,3.4887,0.06178787877939045,Hayır
rfc,7.3758,0.006610925957321489,Evet
lcom,0.0026,0.9596522726408695,Hayır
loc,4.8474,0.02768876991325949,Evet
totalMethodsQty,8.5495,0.0034563205101446897,Evet
totalFieldsQty,2.6236,0.10528670259357399,Hayır
nosi,8.846,0.002937445980145115,Evet
returnQty,4.6576,0.03091695712678632,Evet
loopQty,0.8205,0.36504452579001756,Hayır
comparisonsQty,14.5406,0.00013718012357363305,Evet
variablesQty,0.3219,0.5704616503112866,Hayır
maxNestedBlocksQty,19.283,1.1272217936317576e-05,Evet
uniqueWordsQty,0.267,0.6053252070335233,Hayır
