Değişken,Ortalama,Medyan,Std Sapma,Min,Max,Çarpıklık,Basıklık,Q1,Q3,IQR
cbo,5.1561,3.0,5.8931,0,192,4.2396,62.6666,1.0,7.0,6.0
cboModified,6.8967,5.0,7.4942,0,471,6.9031,270.2567,2.0,9.0,7.0
fanin,1.7406,1.0,3.8387,0,469,33.4526,3660.4778,0.0,2.0,2.0
fanout,5.1562,3.0,5.8932,0,192,4.2395,62.665,1.0,7.0,6.0
wmc,7.6432,3.0,14.9835,0,666,9.6888,219.9243,1.0,8.0,7.0
dit,1.4315,1.0,0.8218,1,75,5.6543,221.9581,1.0,2.0,1.0
noc,0.1058,0.0,0.8426,0,25,16.2012,354.7236,0.0,0.0,0.0
rfc,8.103,3.0,14.227,0,237,4.5396,33.3049,0.0,10.0,10.0
lcom,36.0081,0.0,1504.0433,0,221445,106.0877,12102.9184,0.0,4.0,4.0
loc,36.8468,15.0,87.9248,1,6667,29.9193,1660.9943,7.0,39.0,32.0
totalMethodsQty,4.599,2.0,8.8134,0,666,25.7606,1455.8686,1.0,5.0,4.0
totalFieldsQty,2.2682,1.0,4.776,0,149,8.9666,159.2861,0.0,3.0,3.0
nosi,0.9941,0.0,4.6066,0,604,60.8274,7182.3364,0.0,1.0,1.0
returnQty,2.4587,0.0,7.8062,0,666,36.5133,2401.1126,0.0,2.0,2.0
loopQty,0.4299,0.0,1.8194,0,77,10.2283,179.7172,0.0,0.0,0.0
comparisonsQty,1.0232,0.0,3.6482,0,153,10.4018,224.0721,0.0,0.0,0.0
variablesQty,5.4887,2.0,11.3463,0,369,6.6908,83.8105,0.0,6.0,6.0
maxNestedBlocksQty,0.7122,0.0,1.1038,0,14,2.3434,9.3081,0.0,1.0,1.0
uniqueWordsQty,31.1643,19.0,44.8212,0,2866,18.5622,994.9848,9.0,39.0,30.0
