Değişken,Alt Sınır,Üst Sınır,Outlier Sayısı,Oran (%)
cbo,-8.0,16.0,33701,4.54
cboModified,-8.5,19.5,42581,5.74
fanin,-3.0,5.0,57294,7.72
fanout,-8.0,16.0,33701,4.54
wmc,-9.5,18.5,69918,9.42
dit,-0.5,3.5,20401,2.75
noc,0.0,0.0,28225,3.8
rfc,-15.0,25.0,56150,7.57
lcom,-6.0,10.0,119210,16.07
loc,-41.0,87.0,69575,9.38
totalMethodsQty,-5.0,11.0,63883,8.61
totalFieldsQty,-4.5,7.5,51746,6.97
nosi,-1.5,2.5,75774,10.21
returnQty,-3.0,5.0,93119,12.55
loopQty,0.0,0.0,109982,14.82
comparisonsQty,0.0,0.0,173364,23.37
variablesQty,-9.0,15.0,66315,8.94
maxNestedBlocksQty,-1.5,2.5,54323,7.32
uniqueWordsQty,-36.0,84.0,51075,6.88
