Degisken,F,p,Sig
CBO,1083.1729,6.96761229563284e-237,Evet
RFC,1184.4085,9.348915458403347e-259,Evet
SRFC,3417.5936,0.0,Evet
DIT,163.1231,2.4358390741034354e-37,Evet
NOC,1.1522,0.2830940478877086,Hayir
WMC,4889.7699,0.0,Evet
LOC,1873.7217,0.0,Evet
CMLOC,4740.4197,0.0,Evet
NOF,2705.4419,0.0,Evet
NOSF,183.7104,7.848005783271772e-42,Evet
NOM,2980.8733,0.0,Evet
NOSM,1044.7153,1.4304919122263737e-228,Evet
LCOM,1626.9726,0.0,Evet
LCAM,687.2256,3.33214837778064e-151,Evet
LTCC,1280.4039,1.7487440206431028e-279,Evet
ATFD,1288.7565,2.7523605034251773e-281,Evet
SI,13.4524,0.00024476235430394646,Evet
LOC.1,1873.7217,0.0,Evet
WMC.1,4889.7699,0.0,Evet
