Degisken,Ortalama,Medyan,Std,Min,Max,Carpiklik,Basiklik,Q1,Q3,IQR
CBO,1.5391,0.0,4.7696,0.0,199.0,8.6542,143.5421,0.0,1.0,1.0
RFC,16.2904,1.0,68.507,0.0,4185.0,16.2775,514.6213,0.0,7.0,7.0
SRFC,3.7349,0.0,12.9411,0.0,780.0,11.0311,275.5176,0.0,2.0,2.0
DIT,0.7521,0.0,1.1541,0.0,10.0,2.4925,8.7342,0.0,1.0,1.0
NOC,0.3068,0.0,2.5099,0.0,171.0,29.7688,1260.8151,0.0,0.0,0.0
WMC,6.7734,2.0,19.5985,0.0,1262.0,17.8174,737.465,0.0,6.0,6.0
LOC,58.3015,20.0,309.3402,0.0,40736.0,82.1504,8523.5161,8.0,52.0,44.0
CMLOC,20.5192,3.0,64.4645,0.0,4113.0,15.0504,468.0889,0.0,18.0,18.0
NOF,1.0885,0.0,2.6566,0.0,76.0,6.4114,76.3037,0.0,1.0,1.0
NOSF,0.6704,0.0,5.485,0.0,772.0,66.228,7073.7692,0.0,0.0,0.0
NOM,3.1888,1.0,6.9281,0.0,349.0,9.0616,175.2475,0.0,4.0,4.0
NOSM,0.2733,0.0,2.1125,0.0,284.0,45.3543,4564.1002,0.0,0.0,0.0
LCOM,0.1449,0.0,0.3198,0.0,2.0,2.0965,3.4688,0.0,0.0,0.0
LCAM,0.1754,0.0,0.2551,0.0,0.97,1.0946,-0.2324,0.0,0.375,0.375
LTCC,0.1753,0.0,0.3463,0.0,1.0,1.6162,0.8468,0.0,0.0,0.0
ATFD,0.104,0.0,0.6007,0.0,41.0,16.1343,535.3342,0.0,0.0,0.0
SI,0.0496,0.0,0.3116,0.0,12.0,10.3537,166.2642,0.0,0.0,0.0
LOC.1,58.3015,20.0,309.3402,0.0,40736.0,82.1504,8523.5161,8.0,52.0,44.0
WMC.1,6.7734,2.0,19.5985,0.0,1262.0,17.8174,737.465,0.0,6.0,6.0
ps_LOC,0.2171,0.108,0.2669,0.0,1.0,1.8013,2.3402,0.0398,0.2727,0.233
ps_WMC,0.1459,0.0426,0.23,0.0,1.0,2.3611,5.2466,0.0,0.1702,0.1702
ps_ATFD,0.0232,0.0,0.0918,0.0,1.0,5.8275,43.4408,0.0,0.0,0.0
ps_LTCC,0.2568,0.0,0.434,0.0,1.0,1.1106,-0.7526,0.0,0.903,0.903
ps_NOM,0.1872,0.1111,0.2526,0.0,1.0,1.8213,2.7235,0.0,0.2778,0.2778
mdi_godclass,0.166,0.0594,0.2066,0.0,1.0,1.5375,1.7342,0.0199,0.283,0.2631
