Degisken,Alt Sinir,Ust Sinir,Outlier Sayisi,Oran
CBO,-1.5,2.5,30839,16.18
RFC,-10.5,17.5,27608,14.48
SRFC,-3.0,5.0,29099,15.26
DIT,-1.5,2.5,13172,6.91
NOC,0.0,0.0,18106,9.5
WMC,-9.0,15.0,20404,10.7
LOC,-58.0,118.0,20580,10.79
CMLOC,-27.0,45.0,21124,11.08
NOF,-1.5,2.5,25435,13.34
NOSF,0.0,0.0,34379,18.03
NOM,-6.0,10.0,12919,6.78
NOSM,0.0,0.0,15800,8.29
LCOM,0.0,0.0,36618,19.21
LCAM,-0.56,0.94,30,0.02
LTCC,0.0,0.0,42502,22.29
ATFD,0.0,0.0,11384,5.97
SI,0.0,0.0,8542,4.48
LOC.1,-58.0,118.0,20580,10.79
WMC.1,-9.0,15.0,20404,10.7
